frame,unique_id,aligned_x,aligned_y
416,c1_8,0.8033,0.442
417,c1_8,0.7767,0.4442
418,c1_8,0.7553,0.4463
419,c1_8,0.7387,0.4484
420,c1_8,0.726,0.4504
421,c1_8,0.7159,0.4522
422,c1_8,0.7076,0.454
423,c1_8,0.6987,0.4557
424,c1_8,0.6799,0.4572
425,c1_8,0.6509,0.4585
426,c1_8,0.6159,0.4597
427,c1_8,0.5797,0.4605
428,c1_8,0.5433,0.4611
429,c1_8,0.5081,0.4615
430,c1_8,0.4713,0.4615
431,c1_8,0.4335,0.4614
432,c1_8,0.399,0.4611
433,c1_8,0.37,0.4606
434,c1_8,0.3462,0.46
435,c1_8,0.3273,0.4592
436,c1_8,0.3123,0.4585
437,c1_8,0.3006,0.4577
438,c1_8,0.292,0.4568
439,c1_8,0.285,0.4561
440,c1_8,0.2787,0.4554
441,c1_8,0.2622,0.4551
442,c1_8,0.2351,0.4555
443,c1_8,0.2023,0.4561
444,c1_8,0.1657,0.4571
445,c1_8,0.1284,0.4584
446,c1_8,0.0922,0.4601
447,c1_8,0.0585,0.4621
448,c1_8,0.0258,0.4644
449,c1_8,-0.0091,0.4669
450,c1_8,-0.0408,0.4694
451,c1_8,-0.0675,0.472
452,c1_8,-0.0889,0.4749
453,c1_8,-0.1046,0.4775
454,c1_8,-0.1177,0.4801
455,c1_8,-0.1283,0.4823
456,c1_8,-0.1366,0.4842
457,c1_8,-0.1431,0.4858
458,c1_8,-0.1477,0.487
459,c1_8,-0.1506,0.4878
460,c1_8,-0.1523,0.4881
461,c1_8,-0.1533,0.4878
462,c1_8,-0.1539,0.4872
463,c1_8,-0.1539,0.4863
464,c1_8,-0.1539,0.4854
465,c1_8,-0.1536,0.4847
466,c1_8,-0.1534,0.4837
467,c1_8,-0.1526,0.4823
468,c1_8,-0.152,0.4803
469,c1_8,-0.1514,0.4779
1,c2_1,0.25094009792120797,1.0834317694093105
2,c2_1,0.2495705753361741,1.082590379223658
3,c2_1,0.24912505112215877,1.0820594210679317
4,c2_1,0.24860750885368121,1.0812269748071122
5,c2_1,0.24859244676036063,1.080274498455524
6,c2_1,0.2511813376530183,1.0795498459484965
7,c2_1,0.2523917620358094,1.0788357835723736
8,c2_1,0.2535256964017223,1.0782462232494354
9,c2_1,0.2542051626287871,1.0779776850873284
10,c2_1,0.2546116187313281,1.0774556708564351
11,c2_1,0.25708047953321733,1.0762285381742516
12,c2_1,0.2594248382819213,1.0749249154751905
13,c2_1,0.2617211849943182,1.0734203007060672
14,c2_1,0.2638930296535298,1.0718391959200664
15,c2_1,0.26596437827771036,1.0702820971522191
16,c2_1,0.266733750408902,1.0686110864620915
17,c2_1,0.2672496464713068,1.0672130858964874
18,c2_1,0.2681719986362534,1.06529307109999
19,c2_1,0.26938077681297257,1.0623485618974435
20,c2_1,0.27130197115974264,1.058384030251264
21,c2_1,0.27295909930682205,1.053314042219741
22,c2_1,0.27457104117393927,1.0453866251334534
23,c2_1,0.27843296392321637,1.0379840480344038
24,c2_1,0.2842824475610368,1.0322313013636728
25,c2_1,0.2915299317644604,1.0269944507553468
26,c2_1,0.30156729893060463,1.020984935603686
27,c2_1,0.3152375854511922,1.0150636801500803
28,c2_1,0.33136331688642073,1.0091932624891264
29,c2_1,0.34776205844617225,1.0035763208969586
30,c2_1,0.36443828209286355,0.9977868652152988
31,c2_1,0.38008553937108935,0.9921369736801446
32,c2_1,0.3951298204391276,0.9866311182539127
33,c2_1,0.4086906669998518,0.9815858491350176
34,c2_1,0.4218210514398808,0.9769620982119844
35,c2_1,0.4363014244092067,0.9726532512812942
36,c2_1,0.4486233686065697,0.9686475386617694
37,c2_1,0.46074432073387106,0.9646898380785518
38,c2_1,0.4730902709493874,0.9607846214940583
39,c2_1,0.48625972350089164,0.9572138429576447
40,c2_1,0.4993046739992102,0.9535665744043536
41,c2_1,0.5121771104080368,0.9496418237641227
42,c2_1,0.5242260444808764,0.9453826350758114
43,c2_1,0.5351215101320661,0.9411865205171286
44,c2_1,0.5443130151501405,0.9369725181087802
45,c2_1,0.5516235734831931,0.932889135922105
46,c2_1,0.5562536888133898,0.928702431944054
47,c2_1,0.5592083214910422,0.92417234599309
48,c2_1,0.5606359795874885,0.9194758641211218
49,c2_1,0.5613886434192876,0.9146219302529823
50,c2_1,0.5614663129864379,0.9096105443886713
51,c2_1,0.5609694843239712,0.9044177005100353
52,c2_1,0.5592756471659626,0.8986609485326866
53,c2_1,0.5573132718458469,0.8922247303282733
54,c2_1,0.5552788784712708,0.8854870240187664
55,c2_1,0.553200945022803,0.8781223354809187
56,c2_1,0.551601485731338,0.870537120817271
57,c2_1,0.550834472700692,0.8624343638851466
58,c2_1,0.5510964260385123,0.8541920428065164
59,c2_1,0.55137791343207,0.8464762079211956
60,c2_1,0.5513579127205337,0.8388323910903364
61,c2_1,0.5542238190443318,0.8308178938562667
62,c2_1,0.5604541065604671,0.8222121900931874
63,c2_1,0.570470293464802,0.8134457419217931
64,c2_1,0.5870337847394862,0.8040713789219964
65,c2_1,0.6117525169450184,0.7937050048033378
66,c2_1,0.6406066486801505,0.783306860291966
67,c2_1,0.6701072966993618,0.7733916619000125
68,c2_1,0.698871522530367,0.764395989916661
69,c2_1,0.7257503297139336,0.7559569283132608
70,c2_1,0.7496622678828713,0.7484390393245344
71,c2_1,0.7703778669865482,0.7422158291100358
72,c2_1,0.7893085434778171,0.7365252232573354
73,c2_1,0.8055738390595506,0.7316837719648472
74,c2_1,0.8198772259769682,0.7275234331054956
75,c2_1,0.8344446790940756,0.7244685506314872
76,c2_1,0.8504146047392047,0.7215035740616054
77,c2_1,0.8678919709098003,0.7181785072194182
78,c2_1,0.8874362137421614,0.7137223317676621
79,c2_1,0.9055059659920404,0.7088747623066859
80,c2_1,0.921382693320898,0.7028513646119771
81,c2_1,0.9346314616456239,0.6964996470376763
82,c2_1,0.9456213051633569,0.6904750697926946
83,c2_1,0.9545772219623108,0.6848301168757557
84,c2_1,0.9619776861994898,0.67934426216106
85,c2_1,0.9680717019812635,0.6741704856823624
86,c2_1,0.9728832753257843,0.6694092834746942
